燃えるゴミ,燃えるゴミ: predict=1,score=1.0,diff=0.0
燃えないごみ,燃えるごみ: predict=0,score=0.4745744864145915,diff=0.4745744864145915
燃えるゴミ,燃やすゴミ: predict=1,score=0.8437730371952057,diff=0.1562269628047943
不燃ゴミ,可燃ごみ: predict=0,score=0.007821989556153652,diff=0.007821989556153652
燃えるごみ,可燃ごみ: predict=1,score=0.7591443955898285,diff=0.2408556044101715
燃えないごみ,不燃ゴミ: predict=1,score=0.7736354172229767,diff=0.22636458277702332
空きカン,カン: predict=1,score=1.0,diff=0.0
ビン,瓶: predict=1,score=0.5368438959121704,diff=0.4631561040878296
空きカン,空きビン: predict=0,score=0.6398112376530966,diff=0.6398112376530966
大きなゴミ,小さいゴミ: predict=0,score=1.0,diff=1.0
粗大ごみ,大きなゴミ: predict=1,score=0.6521190404891968,diff=0.3478809595108032
生ゴミ,不燃ゴミ: predict=0,score=0.3823951284090678,diff=0.3823951284090678
生ゴミ,可燃ごみ: predict=1,score=0.6395566314458847,diff=0.3604433685541153
非常ゴミ,他のごみ: predict=0,score=0.9015010595321655,diff=0.9015010595321655
ダンボール,新聞紙: predict=1,score=0.6776135563850403,diff=0.3223864436149597
古紙,ダンボール: predict=1,score=0.4877607524394989,diff=0.5122392475605011
紙類,新聞紙: predict=1,score=0.7807111144065857,diff=0.2192888855934143
不要なゴミ,燃えないごみ: predict=0,score=0.5681677261988323,diff=0.5681677261988323
関係あるもの,関係ないもの: predict=0,score=0.9999999403953552,diff=0.9999999403953552
固いごみ,固くないごみ: predict=0,score=0.532261202732722,diff=0.532261202732722
私達のごみ,私達以外のごみ: predict=0,score=1.0,diff=1.0
大きなごみ,巨大なごみ: predict=1,score=0.5,diff=0.5
大きなごみ,大きいごみ: predict=1,score=0.9999999403953552,diff=5.960464477539063e-08
乾電池,乾電池のごみ: predict=1,score=0.9999999403953552,diff=5.960464477539063e-08
家電,小型家電: predict=1,score=0.7283839732408524,diff=0.27161602675914764
スプレー,スプレー缶: predict=1,score=0.8250196874141693,diff=0.1749803125858307
カン,スプレー缶: predict=1,score=0.2623855844140053,diff=0.7376144155859947
段ボール,紙類: predict=1,score=0.6095452308654785,diff=0.3904547691345215
衣類,割れ物: predict=0,score=0,diff=0
percent=0.6896551724137931,diff_average=0.39413933010622004